#,coin_id,name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,circulating_supply
141,1896,0x Protocol,ZRX,0.23,0.0440,2.4610,3.1544,847496055
128,5864,yearn.finance,YFI,6715.11,0.1946,2.1504,2.0802,32980
126,5034,Kusama,KSM,26.05,-0.0489,0.6478,3.6939,8470098
95,1697,Basic Attention Token,BAT,0.23,0.1494,1.5914,3.2591,1489138514
147,2299,aelf,ELF,0.29,0.0119,1.8094,2.6598,621469972
161,5617,UMA,UMA,2.03,-0.1141,0.9318,0.1303,71290773
127,3911,Ocean Protocol,OCEAN,0.35,-0.2539,-1.3311,7.8200,613099141
101,1659,Gnosis,GNO,117.97,-0.0151,2.3308,3.0315,2589588
100,13855,Ethereum Name Service,ENS,10.66,-0.0341,1.2932,5.6681,28552736
99,7653,Oasis Network,ROSE,0.05,-0.3422,1.5253,2.2020,5725718533
110,3783,Ankr,ANKR,0.03,0.4168,3.9947,5.1987,10000000000
142,24613,Open Campus,EDU,1.40,-1.1219,16.4213,25.7212,145117470
87,4157,THORChain,RUNE,1.17,-0.1249,2.0588,5.1585,331144268
94,2130,Enjin Coin,ENJ,0.34,0.0417,0.5174,0.5431,1000000000
92,8536,Mask Network,MASK,4.73,-0.7548,9.8982,8.7942,80125000
90,2424,SingularityNET,AGIX,0.31,-0.3804,-2.2140,15.1234,1219881811
91,2469,Zilliqa,ZIL,0.02,0.0284,0.6027,1.7215,15867699447
97,7186,PancakeSwap,CAKE,1.78,2.3925,14.1237,-1.3476,209166785
93,9903,Convex Finance,CVX,4.61,0.1349,2.4799,1.7120,77522939
96,8104,1inch Network,1INCH,0.40,-0.0589,0.2292,1.3498,817241568
98,11156,dYdX,DYDX,2.09,0.0663,1.3025,1.0778,156256174
130,3773,Fetch.ai,FET,0.26,-0.1352,-0.3778,9.3538,819745217
132,1455,Golem,GLM,0.21,0.0223,1.4920,1.1240,1000000000
133,5488,JUST,JST,0.02,-0.0611,0.7894,0.2032,8902080000
117,2099,ICON,ICX,0.25,-0.0694,1.5410,-0.7668,958321841
105,1684,Qtum,QTUM,2.79,0.0324,1.3947,8.7768,104675632
153,21846,SPACE ID,ID,0.50,-0.6536,1.2568,6.8579,322972222
104,12220,Osmosis,OSMO,0.59,-0.0282,2.0395,-1.8244,492590761
103,873,NEM,XEM,0.03,0.0438,2.7663,2.4315,8999999999
136,14783,MAGIC,MAGIC,1.05,-0.0790,10.0104,17.0886,215662829
108,5692,Compound,COMP,36.46,0.4612,2.9122,5.3932,7469324
109,5728,Balancer,BAL,5.39,0.4609,1.8643,1.4545,49729720
107,5567,Celo,CELO,0.53,-0.0432,-1.4098,3.1920,498369748
111,9258,Chia,XCH,34.65,-0.1986,0.3652,-1.7175,7456918
163,1680,Aragon,ANT,3.63,1.3196,3.3567,5.1997,40029852
129,7080,Gala,GALA,0.03,-0.0474,0.9438,3.1997,6977205436
114,1168,Decred,DCR,16.75,-0.0839,1.1974,0.1837,14981267
115,23121,Blur,BLUR,0.52,-0.5337,0.4589,11.9422,480627035
144,4679,Band Protocol,BAND,1.46,0.0524,0.3708,1.2088,126055808
118,12999,ssv.network,SSV,23.91,-0.0447,3.6743,-0.6719,10000000
134,3945,Harmony,ONE,0.02,-0.0801,1.0304,-1.7525,13289848572
119,18069,STEPN,GMT,0.27,-0.3206,0.6858,-0.3808,864763597
120,5632,Arweave,AR,6.89,-0.1440,1.0876,3.2022,33394701
122,17751,Threshold,T,0.03,0.0026,0.7493,-1.7428,8706041039
140,6758,SushiSwap,SUSHI,0.87,-0.0099,2.0661,-1.5456,230394980
171,17799,Axelar,AXL,0.47,0.1556,2.5385,1.6308,274118302
125,2083,Bitcoin Gold,BTG,12.77,0.0739,1.8811,0.7675,17513924
149,5647,Kadena,KDA,0.77,0.0772,1.4238,-0.6940,232024716
146,6836,Moonbeam,GLMR,0.29,0.4310,2.7811,2.6013,644592136
143,8420,DAO Maker,DAO,1.28,-0.1154,0.4133,-5.5876,143942531
124,21296,EthereumPoW,ETHW,2.03,0.0070,-0.8438,0.0994,107818999
131,2777,IoTeX,IOTX,0.02,-0.0168,1.6178,1.5973,9447046510
168,109,DigiByte,DGB,0.01,0.5091,1.4259,1.6130,16259002381
166,7878,MobileCoin,MOB,0.69,-0.4785,0.3499,3.1439,195286109
137,2566,Ontology,ONT,0.23,-0.5256,0.8341,9.0787,875249524
135,5665,Helium,HNT,1.42,-0.0785,0.4942,-0.0350,143934821
155,3801,BORA,BORA,0.16,0.1658,0.9109,-1.7835,993750000
139,1274,Waves,WAVES,1.78,-0.2679,-0.9786,9.3028,111546514
159,3029,Flux,FLUX,0.52,-1.6220,6.3410,6.7433,296937428
157,8719,Illuvium,ILV,49.18,0.1879,2.3191,4.9981,3096057
160,5691,SKALE,SKL,0.03,0.0309,2.5104,2.3651,4509352671
158,23635,BinaryX,BNX,0.51,-0.0284,-0.0030,2.1947,289119100
165,3640,Livepeer,LPT,5.08,0.2125,4.3685,5.3024,28002974
164,3437,ABBC Coin,ABBC,0.10,0.0556,0.0823,-2.0765,1395151661
173,11396,JOE,JOE,0.40,1.1296,10.5291,14.1922,336436965
167,18934,Stargate Finance,STG,0.69,-0.1738,2.2330,13.6251,198395658
152,9543,Biconomy,BICO,0.30,0.1461,0.8250,2.6155,547081671
102,4041,MX TOKEN,MX,2.97,0.3530,0.2959,2.3165,100000000
154,3814,Celer Network,CELR,0.02,-0.0009,1.8984,-1.6534,7622840545
123,12885,Astar,ASTR,0.05,-0.0073,1.5247,-1.4591,4434364404
203,20396,Kaspa,KAS,0.02,-1.0865,-0.0370,13.3638,18796410784
221,2989,STASIS EURO,EURS,1.07,-0.0018,0.2224,0.8292,124125940
253,7232,Alpha Venture DAO,ALPHA,0.12,-0.0385,2.8968,15.9582,774000000
175,1772,Storj,STORJ,0.30,0.0292,1.2067,-0.5688,397684689
205,9566,Liquity USD,LUSD,1.01,0.0073,-0.2144,0.0638,280153607
207,6941,Huobi BTC,HBTC,28794.52,-0.0006,1.8598,4.9948,8969
177,7429,Liquity,LQTY,1.30,0.6601,3.8937,3.3060,92291650
209,14101,Ronin,RON,1.10,0.0020,3.5180,12.6066,219024353
244,20362,Polymesh,POLYX,0.15,0.0153,0.5020,-2.4700,638045538
186,23254,Core,CORE,0.87,-0.0756,1.7492,4.3456,123253859
182,1808,OMG Network,OMG,0.80,0.5093,3.8912,1.7802,140245398
215,20886,Astrafer,ASTRAFER,1.08,-0.1233,1.2661,4.6091,156417090
229,3978,Chromia,CHR,0.15,-0.2476,0.3116,8.6353,686549902
190,2027,Cryptonex,CNX,20.46,0.0479,2.9583,4.2454,107405302
185,1214,Lisk,LSK,0.84,0.1002,1.7364,1.7882,128900445
172,4275,Cocos-BCX,COCOS,1.70,-1.7076,-0.8914,2.1433,71051748
170,5444,Cartesi,CTSI,0.18,0.0295,1.3640,-3.9285,724852268
196,24165,Wrapped Kava,WKAVA,1.44,-0.0084,-0.7131,37.8424,497668960
181,3792,ARAW,ARAW,0.06,-0.9620,14.6566,36.2513,1993576188
180,3489,Escroco Emerald,ESCE,0.12,1.1680,13.1584,28.8871,1000000000
179,1674,Cannation,CNNC,48.75,0.5918,10.0600,24.3438,2476893
242,6843,Radicle,RAD,1.88,-0.1324,-0.8615,-5.5074,49829111
194,6952,Frax,FRAX,1.00,-0.0065,0.0553,-0.0561,1004141409
176,1698,Horizen,ZEN,8.59,-0.1247,1.2329,3.1058,13735912
219,9025,Tribe,TRIBE,0.28,-0.0871,1.0248,0.4748,515574634
251,22461,Hashflow,HFT,0.45,-0.5919,2.4878,6.6302,197190175
178,1637,iExec RLC,RLC,1.58,0.0974,-0.4896,-1.4826,72382548
218,13663,Gains Network,GNS,5.11,-0.4192,2.0060,2.3412,30453619
183,11584,Braintrust,BTRST,0.77,0.2613,-0.4702,-1.7282,141511957
184,9444,Kyber Network Crystal v2,KNC,0.63,-0.0516,1.4824,5.4455,172304090
187,8085,Lido Staked ETH,stETH,1901.38,0.1388,3.8932,5.5340,6818918
188,18579,Wrapped TRON,WTRX,0.08,-0.0810,0.6213,3.8273,101676082428
189,5015,HEX,HEX,0.01,-1.0152,3.9788,-45.3986,173411074413
191,24399,Wrapped HBAR,WHBAR,0.05,-0.1097,0.7566,0.9035,31459374375
237,1567,Nano,XNO,0.72,0.0219,0.6517,1.7079,133248297
192,4023,Bitcoin BEP2,BTCB,28008.68,0.0263,3.1783,4.4351,53804
199,2870,FantasyGold,FGC,7.45,-0.1425,105.9396,974.7023,139659829
206,4512,FINSCHIA,FNSA,37.73,-0.1540,-0.8204,4.5331,6769046
195,7192,Wrapped BNB,WBNB,315.22,0.2221,2.2340,2.6633,3132730
197,11948,Radix,XRD,0.07,0.0485,5.5348,-0.4496,10179943419
245,541,Syscoin,SYS,0.12,-0.5347,0.1594,4.0455,751391717
198,11092,Bitget Token,BGB,0.47,-0.2449,1.3242,-0.2532,1400000000
200,5524,TNC Coin,TNC,0.10,-0.0956,2.6934,-0.4533,5851183164
201,5176,Tether Gold,XAUT,1946.69,0.0376,-0.0774,-1.4905,246524
234,9308,Vulcan Forged PYR,PYR,3.68,-0.5239,3.5781,7.5196,27182227
202,4195,FTX Token,FTT,1.03,0.4054,0.5581,3.7169,328895104
250,12400,Decimal,DEL,0.02,-0.3132,-0.2172,-14.8191,3855727186
204,5446,USDJ,USDJ,1.11,0.0267,0.3211,-0.6999,272982843
208,5804,DeFiChain,DFI,0.36,0.0370,2.2432,2.0865,706366308
210,3987,Beldex,BDX,0.04,-0.2117,0.6329,-3.2650,5328089099
211,9466,Edgecoin,EDGT,1.00,-0.0234,-0.0297,-0.0313,210000000
223,2499,SwissBorg,CHSB,0.13,0.0122,2.2254,-4.5166,1000000000
213,25028,Ordinals,ORDI,9.48,0.6656,12.5366,-7.5808,21000000
214,5625,LUKSO,LYXe,10.89,0.2457,0.1878,-7.1463,15575916
216,8677,Symbol,XYM,0.03,-0.2253,2.7986,1.4793,5777261319
217,2496,Polymath,POLY,0.17,-0.1457,1.1287,-9.5934,924998413
254,1759,Status,SNT,0.02,-0.0965,2.1545,0.7379,3847962966
220,23246,tomiNet,TOMI,3.81,0.4373,3.9333,9.7358,39642453
243,1732,Numeraire,NMR,15.26,-0.2161,1.1692,10.3199,6236413
240,5604,Secret,SCRT,0.46,-0.0451,2.7101,-2.6862,210912815
263,2780,NKN,NKN,0.12,-0.6284,8.2206,22.0302,754831362
231,4039,ARPA,ARPA,0.08,-1.6655,-3.2662,31.0780,1242888889
225,2467,OriginTrail,TRAC,0.29,-0.0484,4.1253,10.9657,393600188
241,5266,MiL.k,MLK,0.34,-0.0530,0.5865,-2.7867,284930528
248,7326,DeXe,DEXE,2.54,-0.1375,0.9075,1.3600,36473298
226,7958,Venus USDC,vUSDC,0.02,2.4510,4.0597,4.1517,4771015133
227,7737,API3,API3,1.25,-0.1913,2.1855,3.9973,85200399
252,21178,Metars Genesis,MRS,1.48,0.0027,1.4731,5.3229,62850000
228,11877,Galxe,GAL,1.41,0.2585,3.0446,0.6349,74682666
230,9040,Pundi X (New),PUNDIX,0.39,0.0240,0.9619,-0.1596,258491637
249,2303,MediBloc,MED,0.01,-0.0251,-0.4879,-5.1504,6908642520
239,10903,Coin98,C98,0.20,0.8608,2.6837,1.1449,499444435
238,3626,Rootstock Smart Bitcoin,RBTC,28104.21,-0.0132,3.5368,4.2962,3540
236,9640,MetisDAO,METIS,21.93,0.1224,1.5298,-1.3621,4459278
282,5908,dKargo,DKA,0.03,-0.0311,4.2911,-0.7308,2558333333
270,2071,Request,REQ,0.09,0.0198,0.6537,-1.7877,999755995
303,4807,Shentu,CTK,0.75,-0.3233,0.0237,2.8762,91585934
235,5190,FLEX,FLEX,0.88,0.0359,-12.1901,-4.9355,98664980
265,2665,Dero,DERO,6.54,-0.3843,5.4324,11.8981,13580144
323,20672,Clash of Lilliput,COL,0.71,0.0091,-1.1495,0.6867,82074400
331,2856,CEEK VR,CEEK,0.07,-0.3556,3.6906,-0.5193,805717779
327,7817,Bifrost,BFC,0.05,-0.1315,1.9626,1.8411,1088467441
277,21106,Radiant Capital,RDNT,0.32,-0.3223,-0.2100,6.3697,255377744
288,1320,Ardor,ARDR,0.08,0.1182,1.9495,-1.5347,998999495
316,18031,Concordium,CCD,0.01,-0.4681,-2.6562,24.5126,6836607809
267,1762,Ergo,ERG,1.46,-0.1657,0.0766,-1.5853,58638426
299,1343,Stratis,STRAX,0.47,0.0035,0.6691,0.6149,149583933
266,17591,NYM,NYM,0.20,-0.0456,2.6176,18.7524,447835103
255,10442,Decentralized Social,DESO,10.15,-0.0934,1.4612,-1.6249,8884536
264,12387,Ribbon Finance,RBN,0.16,0.1251,-0.4420,17.8921,534674353
304,11307,Beta Finance,BETA,0.10,0.0564,0.9669,10.7251,677272727
258,14806,ConstitutionDAO,PEOPLE,0.02,0.0288,0.7873,1.0799,5060137335
296,7102,Linear Finance,LINA,0.02,3.1377,29.3123,72.2202,5252608247
260,13523,Merit Circle,MC,0.23,0.0177,2.8342,-1.5857,385947647
324,4761,NuCypher,NU,0.08,-0.0029,1.5501,-4.1366,703000000
261,12147,Synapse,SYN,0.63,0.1099,1.3394,-0.6393,139773376
293,5268,Energy Web Token,EWT,2.40,-0.0792,2.6171,-3.3712,30062138
278,6748,Centrifuge,CFG,0.23,0.3311,1.2886,-0.3933,360263043
259,1816,Civic,CVC,0.09,0.1109,0.5683,-0.2424,1000000000
279,3835,Orbs,ORBS,0.03,-0.0331,1.2746,-1.2532,3167720359
262,9175,MOBOX,MBOX,0.45,-0.8325,2.0774,10.3854,193193737
325,18895,MARBLEX,MBX,1.03,-0.0874,-2.6340,10.5896,54324358
246,3600,Humanscape,HUM,0.09,0.0123,-6.0244,-13.1704,913409273
334,2588,Loom Network,LOOM,0.05,-0.1783,0.9797,-1.8866,1132425698
276,5939,Wrapped NXM,WNXM,28.63,0.1241,3.6984,9.3976,2896294
337,21532,Aura Finance,AURA,1.83,-0.1417,1.0022,-5.2616,29872827
294,1104,Augur,REP,6.54,-0.6016,0.6863,-0.4317,11000000
271,4006,STP,STPT,0.04,0.0630,1.1472,-0.5516,1942420283
286,16876,Artificial Liquid Intelligence,ALI,0.02,0.4731,9.1931,17.7884,3588163660
275,22359,XPLA,XPLA,0.38,-0.2389,0.3708,-4.5677,216581624
274,1230,Steem,STEEM,0.19,0.1270,1.2898,-0.9829,435147890
283,10223,Vega Protocol,VEGA,1.59,-0.2385,0.8371,29.2015,49913920
295,1788,Metal DAO,MTL,1.06,0.1584,-1.3470,5.7939,66588888
280,4120,Prom,PROM,4.33,-0.0426,0.1924,1.4249,18250000
285,7505,Everscale,EVER,0.04,-0.1683,-1.7087,-6.0844,1793451123
326,7824,Vai,VAI,0.96,0.1548,-2.3544,-2.6871,57498554
300,5198,Creditcoin,CTC,0.31,0.4279,0.9401,-0.9107,223464279
315,4092,Dusk Network,DUSK,0.15,-0.1007,0.9269,0.7729,421164409
291,17081,LooksRare,LOOKS,0.09,0.6404,2.4957,-3.4492,830506244
287,2539,Ren,REN,0.08,0.0695,0.0498,0.1959,999037500
281,11232,Highstreet,HIGH,2.05,-0.8417,-2.7675,29.9416,36694393
273,3992,COTI,COTI,0.07,0.0736,2.0099,2.7184,1204830117
289,7288,Venus,XVS,5.04,0.3015,2.9141,2.1319,14915488
290,2132,Powerledger,POWR,0.16,0.0032,2.2659,-0.4146,480189521
319,7224,DODO,DODO,0.13,-0.4624,1.4083,4.8609,455104665
328,2896,Hifi Finance (Old),MFT,0.01,0.0410,1.5168,2.2267,10000000000
330,9119,Alien Worlds,TLM,0.02,-0.0144,1.8227,1.0167,3566104750
320,11783,GameFi.org,GAFI,6.83,-4.4485,-4.3946,0.4788,8340920
311,5026,Orchid,OXT,0.07,-0.1582,0.0338,-0.0338,962629339
284,22008,Vibing,VBG,0.50,2.7480,-24.3196,16.0659,143080000
297,7497,Marlin,POND,0.01,-0.5036,2.0274,0.0643,8087375977
298,7411,Covalent,CQT,0.12,0.2064,-1.2993,-3.6217,572920038
314,17050,Multichain,MULTI,4.75,-0.1139,36.1188,-39.3456,14541094
306,3884,Function X,FX,0.17,-0.1276,-1.2557,8.2218,408520357
310,7431,Akash Network,AKT,0.59,0.1783,6.9411,65.1516,113861304
308,8489,XSGD,XSGD,0.74,0.1215,-0.6010,0.0688,88391260
312,1727,Bancor,BNT,0.42,-0.4077,0.4782,1.3554,156195779
307,4189,Ultra,UOS,0.19,-0.8204,-1.8628,-11.3760,337602984
309,8335,Mdex,MDX,0.07,-0.1368,-0.5318,3.8052,950246937
313,8766,MyNeighborAlice,ALICE,1.32,0.3973,-0.1224,2.6801,48068157
329,1757,FUNToken,FUN,0.01,-0.0555,-0.1834,-4.5372,10962808529
339,8290,SuperVerse,SUPER,0.14,0.5324,3.8166,1.6008,403829654
332,13769,World Mobile Token,WMT,0.13,-0.0828,-0.5010,0.7454,418847659
318,8100,Ankr Staked ETH,ankrETH,2121.29,0.0110,3.0562,5.6268,29330
340,6731,Tokamak Network,TON,1.52,0.1682,1.7020,-4.1113,35773415
333,10529,Sun (New),SUN,0.01,0.2442,0.2961,1.2805,9391103472
335,11374,Mines of Dalarnia,DAR,0.14,0.0120,0.9109,0.8869,398953623
257,10052,Gitcoin,GTC,1.45,-0.0292,-0.3112,3.5248,61298115
322,2840,QuarkChain,QKC,0.01,0.1724,0.7327,-1.9541,6399906497
357,3951,Pirate Chain,ARRR,0.24,-0.1481,-8.9276,-12.7585,196213798
338,4056,Ampleforth,AMPL,1.17,-0.0459,1.2738,11.3205,46031113
347,7692,e-Radix,EXRD,0.07,0.2606,7.4540,0.3646,734834633
394,20789,Dejitaru Tsuka,TSUKA,0.04,0.5447,5.4116,-4.4925,1000000000
402,1521,Komodo,KMD,0.29,-0.2320,0.3863,-5.1270,135953876
348,5956,MUX Protocol,MCB,12.52,0.0075,-6.1467,-7.6023,3821523
365,20622,Forta,FORT,0.19,0.0475,0.6355,-1.4827,245908233
393,8526,Raydium,RAY,0.20,-0.1479,0.7944,-3.0894,208519547
364,21929,Kwenta,KWENTA,374.76,-4.9418,3.0055,19.6470,124321
368,6928,Bella Protocol,BEL,0.91,9.3151,17.2472,39.1938,60000000
359,5161,WazirX,WRX,0.13,-0.3961,-0.1233,0.0697,381856872
384,7064,BakeryToken,BAKE,0.15,-0.0131,2.3212,4.2110,289770564
345,5866,DEXTools,DEXT,0.53,-0.4137,-6.4927,-3.3081,94518358
353,3637,Aergo,AERGO,0.11,-0.0929,0.7181,1.3768,435000000
372,2868,Constellation,DAG,0.03,-0.9969,-4.4639,-0.6608,1266911931
390,11498,Chainbing,CBG,1.27,0.0258,3.5012,8.3251,33000000
362,9071,Chainge,CHNG,0.12,-0.1936,-0.8654,5.1930,399854061
351,6216,AXEL,AXEL,0.18,-0.0857,1.9671,6.2732,283102718
343,5279,Sologenic,SOLO,0.13,0.0698,-2.0830,-7.8297,399947699
381,16946,Metacraft,MCT,0.84,0.2669,3.2177,22.2151,52661120
349,9020,Toko Token,TKO,0.32,1.8909,2.5371,14.4262,161110980
392,11294,SuperRare,RARE,0.10,0.4122,0.7390,-2.2417,433839674
346,4660,Telos,TLOS,0.19,2.6144,3.5127,5.5639,270123444
383,9421,Ampleforth Governance Token,FORTH,2.87,-0.1834,1.2642,-1.6168,15259210
375,9285,Moonriver,MOVR,6.54,-0.2652,0.2783,2.0793,6963703
350,5326,Orbit Chain,ORC,0.08,-0.0025,1.4731,-1.0480,637742493
398,7150,Flamingo,FLM,0.09,-0.3243,3.1770,5.3789,480303410
358,5117,Origin Protocol,OGN,0.10,-0.1484,3.2259,3.6759,509224250
373,10746,Biswap,BSW,0.12,-0.0346,-1.3463,-2.7040,373023661
355,5049,VerusCoin,VRSC,0.67,-0.7243,-2.3237,-3.2015,73306830
360,7859,Badger DAO,BADGER,2.52,0.6260,2.0904,0.6380,19382186
400,4950,LCX,LCX,0.05,-0.4484,5.9757,6.1565,771584751
354,10188,Automata Network,ATA,0.12,-0.2824,-0.2558,-1.8813,389394207
386,2606,Wanchain,WAN,0.22,0.7451,2.2344,5.6995,196595614
382,3874,IRISnet,IRIS,0.03,-0.8094,-2.6397,19.4884,1527752017
361,3673,ASD,ASD,0.07,-0.0430,-0.2314,2.6700,660615274
413,1866,Bytom,BTM,0.02,-0.1711,0.5582,1.6193,1796755575
366,10688,Yield Guild Games,YGG,0.19,-0.0983,-0.0080,7.3977,242860301
341,2700,Celsius,CEL,0.22,-0.1760,1.4145,1.4831,238863520
387,8075,Rally,RLY,0.01,-0.0826,3.4934,3.7747,4986991232
367,2927,sUSD,SUSD,1.00,-0.2046,-0.3959,-0.2187,46661934
391,8107,Cobak Token,CBK,0.56,0.2294,-0.1746,-3.9937,74823257
363,2320,Utrust,UTK,0.09,-0.4254,-0.9916,-19.9756,500000000
379,5612,SOMESING,SSX,0.02,0.1536,2.5222,1.3933,2781165620
388,4747,Velas,VLX,0.02,1.1528,13.6855,36.6599,2456046794
401,5919,Meter Governance,MTRG,2.27,0.0269,-1.6067,3.5635,17128656
397,1817,Voyager Token,VGX,0.15,0.5090,2.1637,-0.5498,278482214
378,7725,TrueFi,TRU,0.04,1.0146,1.7115,-8.9080,1058216801
403,2273,Uquid Coin,UQC,4.01,-0.2645,0.4160,11.6134,10000000
380,8911,Strike,STRK,11.83,-0.0029,-0.5027,-2.0263,3734194
